F1 + S1
F1 + O1
F2 + O2
F2 + S2
F1
F2
S1
O1
O2
S2
S1 + O1
O2 + S2
F1 + O2
F1 + S2
F2 + S1
F2 + O1
O1 + O2
S1 + S2
